Location,Period,Value
DEU,2003-Q1,4.04515873
DEU,2003-Q2,3.85963492066667
DEU,2003-Q3,4.09132411066667
DEU,2003-Q4,4.28845232666667
DEU,2004-Q1,4.064810214
DEU,2004-Q2,4.221020202
DEU,2004-Q3,4.111212121
DEU,2004-Q4,3.75158008666667
DEU,2005-Q1,3.60165079366667
DEU,2005-Q2,3.304278499
DEU,2005-Q3,3.16868341833333
DEU,2005-Q4,3.34145743166667
DEU,2006-Q1,3.47708498
DEU,2006-Q2,3.93939393933333
DEU,2006-Q3,3.882574189
DEU,2006-Q4,3.757448166
DEU,2007-Q1,4.00224242433333
DEU,2007-Q2,4.330543024
DEU,2007-Q3,4.34250724633333
DEU,2007-Q4,4.19252731933333
DEU,2008-Q1,3.92668603333333
DEU,2008-Q2,4.254126984
DEU,2008-Q3,4.26230221466667
DEU,2008-Q4,3.495957666
DEU,2009-Q1,3.07266594533333
DEU,2009-Q2,3.325878788
DEU,2009-Q3,3.302082
DEU,2009-Q4,3.18824458866667
DEU,2010-Q1,3.176557971
DEU,2010-Q2,2.780655844
DEU,2010-Q3,2.422121212
DEU,2010-Q4,2.597734488
DEU,2011-Q1,3.142468599
DEU,2011-Q2,3.097448166
DEU,2011-Q3,2.26212623133333
DEU,2011-Q4,1.93469696966667
DEU,2012-Q1,1.83442279933333
DEU,2012-Q2,1.42050163266667
DEU,2012-Q3,1.358170619
DEU,2012-Q4,1.36742579266667
DEU,2013-Q1,1.470090909
DEU,2013-Q2,1.34026046166667
DEU,2013-Q3,1.72958247066667
DEU,2013-Q4,1.74569818266667
DEU,2014-Q1,1.60766017333333
DEU,2014-Q2,1.34930952366667
DEU,2014-Q3,0.997300646
DEU,2014-Q4,0.699618819666667
DEU,2015-Q1,0.306424242333333
DEU,2015-Q2,0.490172249
DEU,2015-Q3,0.657554112666667
DEU,2015-Q4,0.526624098
DEU,2016-Q1,0.258261904666667
DEU,2016-Q2,0.0834415583333333
DEU,2016-Q3,-0.123371917666667
DEU,2016-Q4,0.147665223666667
DEU,2017-Q1,0.285723320333333
